101464,1,Teste4CriandoPN,4/28/2017 02:43:52 AM,Failed,4/28/2017 02:42:10 AM,basic.step,OFT,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2543,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.1066.14393.0",,1893,Passed,"",basic.step,
"Iteration Total (sec)",,98656,Failed,"",basic.iteration,
"Think: 0 (sec).",,32,Passed,"",basic.comment,
"[1] Acessar o Sistema - Login (/GerenciadorPampatec/)",,19100,Passed,"",basic.stepGroup,
"Navigate http://192.168.1.10:8080/GerenciadorPampatec/",2,69,Passed,"",ft.action,
"WaitForPage: http://192.168.1.10:8080/GerenciadorPampatec/ http://192.168.1.10:8080/GerenciadorPampatec/",4,3374,Passed,"",web.pageComplete,
"Think: 0,834 (sec).",,869,Passed,"",basic.comment,
"Click textBox(""@id='formularioDeLogin:emailInput'"")",5,1550,Passed,"",ft.action,
"Think: 0,479 (sec).",,561,Passed,"",basic.comment,
"SetText textBox(""@id='formularioDeLogin:emailInput'"") testetestezin@gmail.com",6,1673,Passed,"",ft.action,
"Think: 0,967 (sec).",,1017,Passed,"",basic.comment,
"PressTab textBox(""@id='formularioDeLogin:emailInput'"")",7,779,Passed,"",ft.action,
"Think: 1,559 (sec).",,1611,Passed,"",basic.comment,
"SetPassword textBox(""@id='formularioDeLogin:senhaInput'"") ******",8,415,Passed,"",ft.action,
"Think: 5,232 (sec).",,5337,Passed,"",basic.comment,
"Click button(""@id='formularioDeLogin:botaoLogin'"")",9,418,Passed,"",ft.action,
"Think: 0 (sec).",,50,Passed,"",basic.comment,
"[2] Página Principal - Empreendedor (/homeEmpreendedor.jsf)",,78955,Failed,"",basic.stepGroup,
"WaitForPage: http://192.168.1.10:8080/GerenciadorPampatec/view/empreendedor/homeEmpreendedor.jsf http://192.168.1.10:8080/GerenciadorPampatec/view/empreendedor/homeEmpreendedor.jsf",10,7167,Passed,"",web.pageComplete,
"Frame (URL=res://ieframe.dll/forbidframing.htm#http://startuppampa.com.br/processo_incubadora/#list)",,0,Passed,"",web.frame,
"Think: 10 (sec).",,10049,Passed,"",basic.comment,
"Find Object",,60812,Failed,"Find Object timeout. Detail information:/web:window[@index='0' or @title='Página Principal - Empreendedor']/web:document[@index='0']/web:label[@innerText=' 
Novo Plano' and @text=' 
Novo Plano' and @index='0'].",ft.action,
"Finish Total (sec)",,44,Passed,"",basic.finish,
